RATING_ID,PROCESS_ID,ITERATION_NUMBER,CALCULATION_ID,MODEL_COMPONENT_ID,CALCULATION_PERIOD_ID,MODEL_COMPONENT_ESSENTIAL_TYPE_CODE,MODEL_COMPONENT_ESSENTIAL_GROUP_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_NAME,MODEL_COMPONENT_ESSENTIAL_VALUE,MODEL_COMPONENT_ESSENTIAL_VALUE_TYPE,MODEL_COMPONENT_ESSENTIAL_VALUE_CURRENCY
1805600,1264303,1,559875,2200208,1945811,CountryId3,48,qual,UNSPECIFIED,Qualities,null,text,null
148163,123723,1,76017,244913,126386,CurrentLiabilities,6,fin,cons,Consolidated,151863311.798708,decimal,null
1819797,1278280,1,576299,2288792,1943446,commercialRealEstateRetailL,36,qual,UNSPECIFIED,Qualities,null,decimal,null
157996,148812,1,959595,4095817,2996411,SuccessViabilityFeasibility,10,qual,UNSPECIFIED,Qualities,5,text,null
1912725,1368623,1,666555,4744733,3311066,TotalDebt,34,fin,cons,Consolidated,102880000,decimal,null
202389,218065,1,947181,4057701,2988835,Interest,6,fin,cons,Consolidated,-1298000,decimal,null
1823138,1281577,1,577923,2297379,1965064,CountryId5,48,qual,UNSPECIFIED,Qualities,null,text,null
104477,41795,1,116893,325915,164684,EnvironmentGuidelines,18,qual,UNSPECIFIED,Qualities,Y,text,null
1914895,1370765,1,621321,2478593,2042896,EBIT,34,fin,cons,Consolidated,4607000,decimal,null
201741,224815,1,945451,4051931,2987525,QualityCurrentAssets,14,qual,UNSPECIFIED,Qualities,">80% of inventory is presold (to investment grade offtaker) or hedged, OR >80% of A/R are insured, backed by L/C (from investment grade bank or company, economically unrelated to the Borrower) or Open Account under established ABN AMRO approved counterparty limits",text,null
